Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
1,~,USB-C-SMD_TYPE-C-31-G-09,-1.12,36.61,180.0,top
C1,4.7U,C_0402_1005Metric,3.12,28.31,180.0,bottom
C10,1u,C_0402_1005Metric,3.6925,15.737162,270.0,bottom
C11,100n,C_0402_1005Metric,-6.2175,14.017162,-90.0,top
C12,100n,C_0402_1005Metric,3.0825,12.067162,90.0,bottom
C13,100n,C_0402_1005Metric,-6.2175,11.427162,90.0,top
C14,100n,C_0402_1005Metric,0.47,5.64,-90.0,top
C15,100n,C_0402_1005Metric,2.2125,15.427162,0.0,bottom
C2,15p,C_0402_1005Metric,-1.57,6.09,-90.0,top
C3,15p,C_0402_1005Metric,-1.05,3.68,0.0,top
C4,4.7U,C_0402_1005Metric,2.95,23.58,0.0,bottom
C5,100n,C_0402_1005Metric,2.37,28.44,180.0,top
C6,100n,C_0402_1005Metric,-3.0875,16.767162,0.0,bottom
C7,100n,C_0402_1005Metric,1.836725,5.604163,-90.0,top
C8,1u,C_0402_1005Metric,-3.06,15.74,0.0,bottom
C9,100n,C_0402_1005Metric,-2.1075,17.907162,0.0,bottom
D1,LED,LED_0603_1608Metric,3.17,5.69,90.0,bottom
R2,DNF,R_0402_1005Metric,-1.98,27.34,0.0,top
R3,27,R_0402_1005Metric,-3.57,26.42,270.0,bottom
R4,27,R_0402_1005Metric,-2.18,26.37,270.0,bottom
R5,1k,R_0402_1005Metric,-0.54,5.62,-90.0,top
R6,5.7K,R_0402_1005Metric,-4.19,28.87,0.0,top
R7,5.7K,R_0402_1005Metric,-0.26,26.54,90.0,bottom
R8,470,C_0402_1005Metric,3.23,9.0,-90.0,top
U2,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1.41,26.65,0.0,top
U3,RP2040,RP2040-QFN-56,-1.51,11.907162,0.0,top
U4,AP2112K-3.3TRG1,SOT95P285X140-5N,2.56,25.99,180.0,bottom
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,-4.22,5.65,180.0,top
